Country,Year,Setting,"Population (1000s)
Source: UN Population Division",Improved water,At least basic (improved within 30 mins),"Limited (improved
 > 30 mins)",Unimproved water,Surface water,Piped,Non-piped,Accessible on premises,Available when needed,Free from contamination,"Safely managed 
drinking water"
Cameroon,2000,Total,14912.631,63.6,58.2,5.4,26.6,9.8,39.5,24,11.9,48,,
Cameroon,2001,Total,15309.49,64.5,58.6,5.9,25.9,9.6,39.5,25,12.5,48.7,,
Cameroon,2002,Total,15725.528,65.4,59,6.4,25.2,9.4,39.5,25.9,13.1,49.4,,
Cameroon,2003,Total,16160.34,66.3,59.4,6.9,24.5,9.2,39.5,26.8,13.7,50.1,,
Cameroon,2004,Total,16610.487,67.2,59.8,7.4,23.8,9,39.4,27.8,14.2,50.7,,
Cameroon,2005,Total,17074.594,68.1,60.1,7.9,23.1,8.8,39.4,28.7,14.8,51.4,,
Cameroon,2006,Total,17550.407,69,60.5,8.5,22.4,8.6,39.3,29.6,15.4,52,,
Cameroon,2007,Total,18049.896,69.8,60.8,9.1,21.7,8.4,39.2,30.6,16.1,52.7,,
Cameroon,2008,Total,18574.056,70.7,61.1,9.6,21.1,8.3,39.1,31.5,16.7,53.3,,
Cameroon,2009,Total,19113.974,71.5,61.3,10.2,20.4,8.1,39,32.5,17.3,53.9,,
Cameroon,2010,Total,19668.066,72.4,61.6,10.8,19.7,7.9,38.9,33.5,18,54.5,,
Cameroon,2011,Total,20232.304,73.2,61.8,11.4,19.1,7.7,38.7,34.4,18.7,55.1,,
Cameroon,2012,Total,20809.529,74,62,12,18.4,7.6,38.6,35.4,19.3,55.7,,
Cameroon,2013,Total,21402.376,74.8,62.2,12.6,17.8,7.4,38.4,36.4,20,56.3,,
Cameroon,2014,Total,22059.893,75.6,62.4,13.2,17.2,7.2,38.2,37.4,20.7,56.8,,
Cameroon,2015,Total,22763.414,76.4,62.5,13.8,16.6,7.1,38,38.3,21.4,57.4,,
Cameroon,2016,Total,23454.161,77.1,62.7,14.5,16,6.9,37.8,39.3,22.1,57.9,,
Cameroon,2017,Total,24128.601,77.9,62.8,15.1,15.3,6.8,37.6,40.3,22.9,58.5,,
Cameroon,2018,Total,24806.383,78.6,62.9,15.8,14.8,6.6,37.3,41.3,23.6,59,,
Cameroon,2019,Total,25506.095,79.4,63,16.4,14.2,6.5,37.1,42.3,24.3,59.5,,
Cameroon,2020,Total,26210.558,80.1,63,17.1,13.6,6.3,36.8,43.3,25.1,60,,
Cameroon,2021,Total,26915.758,80.8,63.1,17.8,13,6.2,36.5,44.3,25.9,60.5,,
Cameroon,2022,Total,27632.771,81.5,63.1,18.5,12.4,6,36.2,45.3,26.6,61,,
Cameroon,2023,Total,28372.687,82.2,63.1,19.2,11.9,5.9,35.9,46.4,27.4,61.5,,
Cameroon,2024,Total,29123.744,82.9,63.1,19.9,11.3,5.8,35.5,47.4,28.2,61.9,,
Cameroon,2025,Total,29879.337,83.1,63.2,19.9,11.2,5.7,35.7,47.4,28.4,61.9,,
Cameroon,2026,Total,30640.817,83.2,63.3,19.9,11.1,5.6,35.9,47.3,28.6,62,,
Cameroon,2027,Total,31410.384,83.4,63.5,19.9,11,5.6,36.1,47.3,28.7,62,,
Cameroon,2028,Total,32190.668,83.5,63.6,19.9,10.9,5.5,36.3,47.3,28.9,62,,
Cameroon,2029,Total,32979.283,,,,,,,,,,,
Cameroon,2030,Total,33777.19,,,,,,,,,,,
Cameroon,2000,Rural,8121.120605,41.6,35.5,6.2,41,17.4,11.4,30.3,3.6,37.8,,
Cameroon,2001,Rural,8245.844727,42.7,36.1,6.5,40.2,17.2,11.5,31.1,3.7,38.7,,
Cameroon,2002,Rural,8375.730469,43.7,36.8,6.9,39.4,16.9,11.7,32,3.9,39.7,,
Cameroon,2003,Rural,8510.358398,44.7,37.4,7.3,38.6,16.7,11.9,32.8,4.1,40.6,,
Cameroon,2004,Rural,8647.418945,45.7,38,7.7,37.7,16.5,12.1,33.6,4.3,41.5,,
Cameroon,2005,Rural,8786.415039,46.8,38.7,8.1,36.9,16.3,12.3,34.5,4.4,42.5,,
Cameroon,2006,Rural,8925.610352,47.8,39.3,8.5,36.1,16.1,12.5,35.3,4.6,43.4,,
Cameroon,2007,Rural,9070.794922,48.8,39.9,8.9,35.3,15.9,12.7,36.2,4.8,44.3,,
Cameroon,2008,Rural,9222.019531,49.8,40.5,9.4,34.5,15.7,12.8,37,5,45.3,,
Cameroon,2009,Rural,9374.639648,50.9,41,9.8,33.7,15.4,13,37.8,5.2,46.2,,
Cameroon,2010,Rural,9527.407227,51.9,41.6,10.3,32.9,15.2,13.2,38.7,5.4,47.1,,
Cameroon,2011,Rural,9678.325195,52.9,42.2,10.8,32.1,15,13.4,39.5,5.6,48.1,,
Cameroon,2012,Rural,9828.548828,54,42.7,11.3,31.3,14.8,13.6,40.4,5.9,49,,
Cameroon,2013,Rural,9979.286133,55,43.2,11.7,30.4,14.6,13.8,41.2,6.1,49.9,,
Cameroon,2014,Rural,10152.8457,56,43.8,12.2,29.6,14.4,14,42,6.3,50.9,,
Cameroon,2015,Rural,10339.59766,57,44.3,12.8,28.8,14.1,14.1,42.9,6.5,51.8,,
Cameroon,2016,Rural,10512.38965,58.1,44.8,13.3,28,13.9,14.3,43.7,6.7,52.7,,
Cameroon,2017,Rural,10670.39063,59.1,45.3,13.8,27.2,13.7,14.5,44.6,7,53.7,,
Cameroon,2018,Rural,10822.03223,60.1,45.8,14.4,26.4,13.5,14.7,45.4,7.2,54.6,,
Cameroon,2019,Rural,10975.7832,61.1,46.2,14.9,25.6,13.3,14.9,46.2,7.4,55.5,,
Cameroon,2020,Rural,11123.75977,62.2,46.7,15.5,24.8,13.1,15.1,47.1,7.7,56.4,,
Cameroon,2021,Rural,11264.78223,63.2,47.2,16,24,12.9,15.3,47.9,7.9,57.4,,
Cameroon,2022,Rural,11403.21582,64.2,47.6,16.6,23.1,12.6,15.5,48.8,8.2,58.3,,
Cameroon,2023,Rural,11543.42676,65.2,48,17.2,22.3,12.4,15.6,49.6,8.4,59.2,,
Cameroon,2024,Rural,11680.95117,66.3,48.4,17.8,21.5,12.2,15.8,50.4,8.7,60.2,,
Cameroon,2025,Rural,11813.09473,66.3,48.4,17.8,21.5,12.2,15.8,50.4,8.7,60.2,,
Cameroon,2026,Rural,11940.11426,66.3,48.4,17.8,21.5,12.2,15.8,50.4,8.7,60.2,,
Cameroon,2027,Rural,12063.47266,66.3,48.4,17.8,21.5,12.2,15.8,50.4,8.7,60.2,,
Cameroon,2028,Rural,12184.16699,66.3,48.4,17.8,21.5,12.2,15.8,50.4,8.7,60.2,,
Cameroon,2029,Rural,12301.27344,,,,,,,,,,,
Cameroon,2030,Rural,12415.81934,,,,,,,,,,,
Cameroon,2000,Urban,6791.510254,89.8,85.4,4.4,9.5,0.7,73.2,16.6,22,60.2,,
Cameroon,2001,Urban,7063.645508,90,84.9,5.1,9.3,0.8,72.2,17.8,22.7,60.4,,
Cameroon,2002,Urban,7349.796875,90.1,84.4,5.7,9.1,0.8,71.2,19,23.5,60.5,,
Cameroon,2003,Urban,7649.981934,90.3,83.9,6.4,8.8,0.8,70.2,20.2,24.3,60.6,,
Cameroon,2004,Urban,7963.067383,90.5,83.4,7.1,8.6,0.9,69.1,21.4,25.1,60.7,,
Cameroon,2005,Urban,8288.178711,90.7,82.9,7.8,8.4,0.9,68.1,22.6,25.9,60.8,,
Cameroon,2006,Urban,8624.796875,90.9,82.4,8.5,8.2,0.9,67.1,23.8,26.6,61,,
Cameroon,2007,Urban,8979.101563,91,81.9,9.2,8,0.9,66.1,25,27.4,61.1,,
Cameroon,2008,Urban,9352.037109,91.2,81.4,9.8,7.8,1,65.1,26.2,28.2,61.2,,
Cameroon,2009,Urban,9739.334961,91.4,80.9,10.5,7.6,1,64,27.4,29,61.3,,
Cameroon,2010,Urban,10140.6582,91.6,80.3,11.2,7.4,1,63,28.6,29.8,61.4,,
Cameroon,2011,Urban,10553.97949,91.7,79.8,11.9,7.2,1.1,62,29.8,30.6,61.6,,
Cameroon,2012,Urban,10980.98047,91.9,79.3,12.6,7,1.1,61,31,31.4,61.7,,
Cameroon,2013,Urban,11423.08984,92.1,78.8,13.3,6.8,1.1,60,32.1,32.2,61.8,,
Cameroon,2014,Urban,11907.04785,92.3,78.3,14,6.6,1.1,58.9,33.3,33,61.9,,
Cameroon,2015,Urban,12423.81641,92.5,77.7,14.7,6.4,1.2,57.9,34.5,33.8,62,,
Cameroon,2016,Urban,12941.77148,92.6,77.2,15.4,6.2,1.2,56.9,35.7,34.6,62.1,,
Cameroon,2017,Urban,13458.20996,92.8,76.7,16.2,6,1.2,55.9,36.9,35.5,62.3,,
Cameroon,2018,Urban,13984.35059,93,76.1,16.9,5.7,1.3,54.9,38.1,36.3,62.4,,
Cameroon,2019,Urban,14530.31152,93.2,75.6,17.6,5.5,1.3,53.8,39.3,37.1,62.5,,
Cameroon,2020,Urban,15086.79785,93.4,75,18.3,5.3,1.3,52.8,40.5,37.9,62.6,,
Cameroon,2021,Urban,15650.97559,93.5,74.5,19,5.1,1.3,51.8,41.7,38.7,62.7,,
Cameroon,2022,Urban,16229.55469,93.7,74,19.8,4.9,1.4,50.8,42.9,39.6,62.9,,
Cameroon,2023,Urban,16829.25977,93.9,73.4,20.5,4.7,1.4,49.8,44.1,40.4,63,,
Cameroon,2024,Urban,17442.79297,94.1,72.8,21.2,4.5,1.4,48.7,45.3,41.2,63.1,,
